location,site,transect_ht,field_team,yyyy-mm-dd,quad_m,photo_code,height_rel_m,ANSO,ANEL,Chth,SECA,TERU,POPO,MYCA,InvSes,InvMob,FUGA,SICO,AlgBro,MastoComp,MastoCrust,Mazz,ENMU,CrustUn,CrustCa,ArtCor,AlgRed,GreLeaf,GreFila,PHSC,Rock,Shell,Cobb,Sand,Tar,total
CA,HM1,0.5m,CAN,3/30/22,28m,G5W2B5,1.925,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,5,0,0,0,0,0,0,0,1,0,0,0,0,16
CA,HM1,0.5m,CAN,3/30/22,24m,B1W2G4,2.235,1,0,0,0,0,0,2,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,4,0,0,1,0,16
CA,HM1,0.5m,CAN,3/30/22,20m,B2W2G6,2.1,0,0,0,0,0,0,1,0,0,0,0,0,2,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16
CA,HM1,0.5m,CAN,3/30/22,16m,B1G1W1,NA,1,0,0,0,0,0,1,0,0,0,0,0,4,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16
CA,HM1,0.5m,CAN,3/30/22,12m,W2G3B5,2.45,1,0,0,0,0,0,1,0,2,0,0,0,3,3,0,0,0,1,0,1,0,0,0,0,0,0,4,0,16
CA,HM1,0.5m,CAN,3/30/22,10m,B3G1W1,2.52,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,16
CA,HM1,0.5m,CAN,3/30/22,4m,G1B6W1,2.35,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,0,0,6,0,0,1,0,16
CA,HM1,1.5m,CAN,4/4/22,30m,B5P3B1,1.625,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,16
CA,HM1,1.5m,CAN,4/4/22,26m,P3B1B5,2.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
CA,HM1,1.5m,CAN,4/4/22,22m,B5R1P1,2.035,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,0,0,0,0,0,0,0,5,0,0,0,0,16
CA,HM1,1.5m,CAN,4/4/22,18m,R1B4P2,1.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
CA,HM1,1.5m,CAN,4/4/22,14m,R3B6P3,2.17,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16
CA,HM1,1.5m,CAN,4/4/22,10m,B4R1P1,2.065,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,16
CA,HM1,1.5m,CAN,4/4/22,6m,P5R4B1,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
CA,HM1,1.5m,CAN,4/4/22,2m,P6R4B5,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,16
CA,HM1,0.5m,AMA,3/30/22,26m,B1R5P1,4.25,1,0,0,0,0,0,0,0,1,0,0,0,1,7,0,3,0,0,0,0,0,0,0,0,0,0,3,0,16
CA,HM1,0.5m,AMA,3/30/22,22m,P6B3R3,1.835,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,5,0,0,0,0,0,0,0,1,0,0,0,0,16
CA,HM1,0.5m,AMA,3/30/22,18m,R4R5B2,2.27,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,0,0,0,5,0,0,0,0,16
CA,HM1,0.5m,AMA,3/30/22,14m,B1R5P2,2.1,2,0,0,0,0,0,0,1,0,0,0,0,1,3,0,6,0,1,0,0,0,0,0,2,0,0,0,0,16
